game_id,away_team,home_team,kickoff_timestamp_utc,horizon,role,target_timestamp_utc,phase2_eligible,state,capture_tolerance_minutes,minimum_complete_books,completed_2026_outcomes_used
2026_03_CIN_PIT,CIN,PIT,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_HOU_IND,HOU,IND,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_KC_MIA,KC,MIA,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_LAC_BUF,LAC,BUF,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_NE_JAX,NE,JAX,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_NYJ_DET,NYJ,DET,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_SEA_WAS,SEA,WAS,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_TEN_NYG,TEN,NYG,2026-09-27T17:00:00+00:00,T-360m,predictor,2026-09-27T11:00:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-2160m,predictor,2026-09-27T12:15:00+00:00,True,future,7.5,2,0
2026_03_LA_DEN,LA,DEN,2026-09-28T00:20:00+00:00,T-720m,predictor,2026-09-27T12:20:00+00:00,True,future,7.5,2,0
2026_03_ARI_SF,ARI,SF,2026-09-27T20:05:00+00:00,T-360m,predictor,2026-09-27T14:05:00+00:00,True,future,7.5,2,0
2026_03_MIN_TB,MIN,TB,2026-09-27T20:05:00+00:00,T-360m,predictor,2026-09-27T14:05:00+00:00,True,future,7.5,2,0
2026_03_BAL_DAL,BAL,DAL,2026-09-27T20:25:00+00:00,T-360m,predictor,2026-09-27T14:25:00+00:00,True,future,7.5,2,0
2026_03_LV_NO,LV,NO,2026-09-27T20:25:00+00:00,T-360m,predictor,2026-09-27T14:25:00+00:00,True,future,7.5,2,0
2026_03_CAR_CLE,CAR,CLE,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_CIN_PIT,CIN,PIT,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_HOU_IND,HOU,IND,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_KC_MIA,KC,MIA,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_LAC_BUF,LAC,BUF,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_NE_JAX,NE,JAX,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_NYJ_DET,NYJ,DET,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_SEA_WAS,SEA,WAS,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_TEN_NYG,TEN,NYG,2026-09-27T17:00:00+00:00,T-120m,predictor,2026-09-27T15:00:00+00:00,True,future,7.5,2,0
2026_03_CAR_CLE,CAR,CLE,2026-09-27T17:00:00+00:00,T-60m,diagnostic_only,2026-09-27T16:00:00+00:00,True,future,7.5,2,0
2026_03_CIN_PIT,CIN,PIT,2026-09-27T17:00:00+00:00,T-60m,diagnostic_only,2026-09-27T16:00:00+00:00,True,future,7.5,2,0
2026_03_HOU_IND,HOU,IND,2026-09-27T17:00:00+00:00,T-60m,diagnostic_only,2026-09-27T16:00:00+00:00,True,future,7.5,2,0
